params,mean_test_score,std_test_score,rank_test_score
"{'n_estimators': 100, 'min_samples_split': 20, 'min_samples_leaf': 2, 'max_features': 0.5, 'max_depth': 5, 'class_weight': 'balanced'}",0.5594315695391878,0.016893997586901337,20
"{'n_estimators': 50, 'min_samples_split': 20, 'min_samples_leaf': 2, 'max_features': 0.3, 'max_depth': 7, 'class_weight': 'balanced'}",0.5590338770542647,0.017379682970638532,21
"{'n_estimators': 50, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 0.3, 'max_depth': 5, 'class_weight': 'balanced'}",0.5587658086662748,0.01919105639047078,22
"{'n_estimators': 150, 'min_samples_split': 20, 'min_samples_leaf': 8, 'max_features': 'log2', 'max_depth': 10, 'class_weight': 'balanced'}",0.558616610890402,0.014942648503340384,23
"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 0.5, 'max_depth': 7, 'class_weight': None}",0.5582058267819177,0.016401916660288614,24
"{'n_estimators': 300, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 10, 'class_weight': 'balanced'}",0.5575685246538201,0.01831595572330928,25
"{'n_estimators': 50, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 7, 'class_weight': 'balanced'}",0.5572051451120102,0.0183313043263943,26
"{'n_estimators': 150, 'min_samples_split': 20, 'min_samples_leaf': 1, 'max_features': 0.5, 'max_depth': 7, 'class_weight': None}",0.5568440437119662,0.017144788095328475,27
"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 8, 'max_features': 'sqrt', 'max_depth': 10, 'class_weight': 'balanced'}",0.5567923769521392,0.01808388130324827,28
"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 0.5, 'max_depth': 7, 'class_weight': None}",0.5562756405949957,0.0193718262233329,29
"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 0.5, 'max_depth': 7, 'class_weight': 'balanced'}",0.5562305436413114,0.019171974442622638,30
"{'n_estimators': 150, 'min_samples_split': 20, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': None, 'class_weight': 'balanced'}",0.5555322661895769,0.017455597914220602,31
"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 10, 'class_weight': None}",0.5542180083403052,0.014874900335868338,32
"{'n_estimators': 200, 'min_samples_split': 20, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 12, 'class_weight': 'balanced'}",0.5538862995581115,0.017247071382900568,33
"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 8, 'max_features': 0.3, 'max_depth': 10, 'class_weight': 'balanced'}",0.553802000951997,0.015463835365696897,34
"{'n_estimators': 50, 'min_samples_split': 20, 'min_samples_leaf': 2, 'max_features': 0.5, 'max_depth': 7, 'class_weight': None}",0.5536277353568286,0.017762963655687778,35
"{'n_estimators': 150, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 12, 'class_weight': None}",0.5533731701454713,0.019828299414114167,36
"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 8, 'max_features': 0.5, 'max_depth': 10, 'class_weight': None}",0.553310187809586,0.016356719350410876,37
"{'n_estimators': 50, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 10, 'class_weight': 'balanced'}",0.5529746551465997,0.01742056126424436,38
"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 0.5, 'max_depth': 10, 'class_weight': None}",0.5526399706393823,0.02005045027656538,39
"{'n_estimators': 150, 'min_samples_split': 20, 'min_samples_leaf': 8, 'max_features': 0.3, 'max_depth': 12, 'class_weight': None}",0.5519238477555478,0.018724814026283638,40
"{'n_estimators': 150, 'min_samples_split': 2, 'min_samples_leaf': 8, 'max_features': 0.3, 'max_depth': 12, 'class_weight': None}",0.550594068799212,0.0184392046346514,41
"{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 0.3, 'max_depth': 12, 'class_weight': 'balanced'}",0.5505382548688047,0.01339361417137949,42
"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 8, 'max_features': 0.5, 'max_depth': None, 'class_weight': None}",0.5486070384621495,0.016768998054213245,43
"{'n_estimators': 50, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 12, 'class_weight': None}",0.5478993415791684,0.013235553136178939,44
"{'n_estimators': 200, 'min_samples_split': 20, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': None, 'class_weight': None}",0.5473876557949152,0.017117508088831127,45
"{'n_estimators': 150, 'min_samples_split': 20, 'min_samples_leaf': 8, 'max_features': 0.5, 'max_depth': None, 'class_weight': 'balanced'}",0.5460235644285978,0.016165133420291692,46
"{'n_estimators': 300, 'min_samples_split': 20, 'min_samples_leaf': 4, 'max_features': 0.5, 'max_depth': None, 'class_weight': 'balanced'}",0.5456340230418315,0.01556394893585329,47
"{'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 0.3, 'max_depth': None, 'class_weight': None}",0.5447534620943421,0.012090611125988644,48
"{'n_estimators': 150, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 0.3, 'max_depth': None, 'class_weight': None}",0.543736943807129,0.013012414828531936,49
"{'n_estimators': 50, 'min_samples_split': 2, 'min_samples_leaf': 8, 'max_features': 'sqrt', 'max_depth': None, 'class_weight': None}",0.5411818429300755,0.014529410959902159,50
